,fbuid,name,introduction,countryside,address,rela,ava,cover,nums_of_friend,nums_of_images,nums_of_videos,nums_of_albums,Label
21,1.00004E+14,Trung Nguyễn (Designer),Thiết Kế Kiến Trúc - Nội Thấthttps://www.behance.net/trungnguyen76,,,,https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-1/265991083_2187401944731604_8661459170904195397_n.jpg?stp=dst-jpg_s200x200&_nc_cat=100&ccb=1-7&_nc_sid=7206a8&_nc_ohc=sEMMlYzxgQUAX_BLGr4&_nc_ht=scontent.fhan14-2.fna&oh=00_AfDNjiOcD0mOkt8cF6w_6R7NdO1eYz7isKUq6eo9j-a4sg&oe=64AE3A21,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-6/278483316_2278370968968034_9014461536172290849_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=e3f864&_nc_ohc=07hmX50LBvgAX-2zC-4&_nc_ht=scontent.fhan14-4.fna&oh=00_AfBBH3bPOEnjEhfQ0JWo2IlRWbzKniKhnJUzhMN9YnVsyw&oe=64AE68CE,,,,,0
22,1.00013E+14,Yết Hồ (Leader Tại Meey Land),☝BÍ MẬT CỦA SỰ THÀNH CÔNG LỚN LÀ KIẾN TẠO THÀNH CÔNG CHO NGƯỜI KHÁC TRƯỚC 🤝,,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-1/332487255_6516982548331363_5743110808545543804_n.jpg?stp=dst-jpg_p200x200&_nc_cat=104&ccb=1-7&_nc_sid=f67be1&_nc_ohc=8MJNgwSRiMcAX8QP2Za&_nc_ht=scontent.fhan14-3.fna&oh=00_AfBBGBiOJldCmnTdmOKek2wzq_bAmRHy6Sv6lz21hmAqfg&oe=64AE6A4B,https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-6/278917672_1436518803470042_2340923116276167182_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=e3f864&_nc_ohc=LoinMzs6yMwAX_Lwx9A&_nc_ht=scontent.fhan14-2.fna&oh=00_AfAjyaYvjMAUUO6OP_zXuGo-6ZPX04D-Tudtirm_yUMC4g&oe=64AE76F2,,,,,0
23,1.00004E+14,Sharon Lei (Ngọc Lê ),I will be who I wanna be ✅ Ig: sharon.lei149,,,,https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-1/305145791_2320302698121937_9074736587875869593_n.jpg?stp=dst-jpg_p200x200&_nc_cat=108&ccb=1-7&_nc_sid=7206a8&_nc_ohc=OVmldch9uKwAX_OA1YI&_nc_ht=scontent.fhan14-2.fna&oh=00_AfA_IsUkxRAnEhijv6ijgeLcXGJAv6b30eL4fxUmHSNJbw&oe=64AF1896,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-6/287938653_2252571211561753_6003303326717589398_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=e3f864&_nc_ohc=JzIF8LwqRBUAX-BMA7-&_nc_ht=scontent.fhan14-1.fna&oh=00_AfCLo1l-C4CafSZS-CwHT3UfS2Yi_cXfZvRPEgNO5kQgDA&oe=64AD2A55,,,,,1
24,1.00013E+14,Hoa Nguyen Thi,Tim đau,,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.18169-1/21743276_342048922900139_6368639650900771993_n.jpg?stp=c0.0.200.200a_dst-jpg_p200x200&_nc_cat=105&ccb=1-7&_nc_sid=7206a8&_nc_ohc=Vids6evuom8AX9gh9Ud&_nc_ht=scontent.fhan14-1.fna&oh=00_AfCsWf7oKx3zUR9tIzX1f6gzNXN6ynRgW_TaD5jx3xLu2Q&oe=64D0AC94,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.18169-9/17155528_261460944292271_3334491996393669002_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=e3f864&_nc_ohc=JjkRRycOqvEAX9vwsAZ&_nc_ht=scontent.fhan14-3.fna&oh=00_AfDfdfNhaIgCe1IrFmOTyQSWlvb8vmVAwJ1XsQitYUnI9g&oe=64D0A7C7,,,,,0
25,1.00006E+14,Le Thuy,,,,,https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-1/271586414_1769759816551351_6859575196751394609_n.jpg?stp=dst-jpg_p200x200&_nc_cat=100&ccb=1-7&_nc_sid=7206a8&_nc_ohc=VrFuwxuZSeMAX8Nc1S9&_nc_ht=scontent.fhan14-2.fna&oh=00_AfCkcnBYyvJEIayv9M1JrHygNhQyDMPEjeOKMEbeCPZj3A&oe=64AD43BB,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.18169-9/1975243_224487984411883_1962126686_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=e3f864&_nc_ohc=JujdQXnK_yMAX_HvpM9&_nc_ht=scontent.fhan14-3.fna&oh=00_AfBIoKE-p08fJhCWd1EjONuqJJrewJPCPg4p54uQd6dYDw&oe=64D0B2F5,,,,,0
26,1.00009E+14,Minh Pham,,,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-1/322455116_730054108200820_7864063918133991259_n.jpg?stp=dst-jpg_p200x200&_nc_cat=101&ccb=1-7&_nc_sid=7206a8&_nc_ohc=t7LEemMQNO8AX_x8_m5&_nc_ht=scontent.fhan14-1.fna&oh=00_AfDtpteA_WPIPCzg2sK4OLyAJOYItlZwy1zjH-nWDYdbvw&oe=64AEF686,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.6435-9/179190997_2815949495385667_6389570453090497290_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=e3f864&_nc_ohc=gOf5gkoGQz8AX_ZR0po&_nc_ht=scontent.fhan14-2.fna&oh=00_AfCEcNEDHpJZ7YhtZeLKpQHWemLgWtDBs7DlIDrnuInD5w&oe=64D09DF1,,,,,1
27,1.00011E+14,Nguyễn Hiền,,,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-1/275236900_1575316376174828_6248101574251804655_n.jpg?stp=dst-jpg_p200x200&_nc_cat=104&ccb=1-7&_nc_sid=7206a8&_nc_ohc=BL91LyAtaG8AX8Abhvy&_nc_ht=scontent.fhan14-3.fna&oh=00_AfBSzQB834Ox5sDmLcQqxxZPW_4GrCAnYBx8DtMshlrPOg&oe=64AD49C9,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.6435-9/35296318_610575955982213_6497406815783878656_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=e3f864&_nc_ohc=MIkIkN38X-YAX_eXJ34&_nc_ht=scontent.fhan14-2.fna&oh=00_AfBeKs_pY2SBdGFuiN4xyF4vzX-oAOQiJFadYoZlTNw_LQ&oe=64D08EE9,,,,,0
28,1.00012E+14,Phương Dung,du lịch 🍒🍓🍅🍎🍉🍇,,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.18169-1/22365689_388986854849898_6325877324810600063_n.jpg?stp=dst-jpg_p200x200&_nc_cat=102&ccb=1-7&_nc_sid=7206a8&_nc_ohc=z9PJzjO3cB0AX8u3TKg&_nc_oc=AQmBStq1d6SFwK37mXFqW-qTdwaJJW5pSPQ1776FpGMb4TJLmzJB9d1vLHyznnPbab3sbirXGlUJRAnYYazEgJbo&_nc_ht=scontent.fhan14-4.fna&oh=00_AfDsL7E22oTuzOd3buFCJfqUFetuNDgbRwDyQntouisF5w&oe=64D0B132,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.18169-9/19554181_351251565290094_6324472113079520638_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=e3f864&_nc_ohc=yKqLQpAn8NcAX9WI__w&_nc_ht=scontent.fhan14-3.fna&oh=00_AfB0hKPparoP8GUnmD4edBw3Qq6sbZRtjVPA5_Sihe2mgg&oe=64D0AA6F,,,,,1
29,1.00023E+14,Thien Huong Pham,,,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t31.18172-1/23592188_123690011738296_3710220166699824096_o.jpg?stp=dst-jpg_s200x200&_nc_cat=109&ccb=1-7&_nc_sid=7206a8&_nc_ohc=C_lJ3N5jPbcAX97vvSU&_nc_ht=scontent.fhan14-4.fna&oh=00_AfDOoh7LfY8HUMpHg2MoZHVaGxu2nIEEKAoWqUTZvo9mrQ&oe=64D0A3A3,,,,,,0
30,1.00014E+14,Phạm Kiều (Pé pU),"💜 Be yourself, don't be anyone else 💜",,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-1/332835364_531775645763674_2254030261829153575_n.jpg?stp=c0.0.200.200a_dst-jpg_p200x200&_nc_cat=101&ccb=1-7&_nc_sid=7206a8&_nc_ohc=ByTkwKQjrTkAX_GGWDP&_nc_ht=scontent.fhan14-1.fna&oh=00_AfBPdsQsLmt-HWIsc-YvCD0P-5TWcC0zTtbYXTAe5uA4ow&oe=64AE0EF5,https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-6/273978234_1252682201890511_6114645193820490739_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=e3f864&_nc_ohc=nLCYIlQQQOQAX8Pm4kV&_nc_ht=scontent.fhan14-3.fna&oh=00_AfDCyWey785_x-YZot-IRaqPBITTKim84SeGx-xmZpfBcg&oe=64AEDFF6,,,,,1
